"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Colombia","COL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7437321544523","13.4769212818618","11.219754185325","","","11.2588268638482","","","","","12.935611045498","12.5980427903069","12.1229132869905","14.5554009233837","13.2721334156329","14.0930837146392","14.981443601276","15.0951672188082","","",
"Comoros","COM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0769713606117","22.7444438575378","20.9067631506814","21.2837976760053","18.4206417086846","","","","","","","","",
"Costa Rica","CRI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","11.4413690693542","12.4970478184578","13.6201639990327","12.4370708760522","12.1882799048153","12.3050282048147","12.6515622799897","11.883970601474","11.6168139669017","12.381200780513","12.6557483542812","12.043385960119","11.726512192502","10.8450763695726","10.6946599581912","11.2014819143279","11.188663342019","10.480598020948","10.0735934061288","10.6266305389332","12.0263313543701","12.0927732607595","11.6409135483817","12.3142973450234","12.708256301512","12.6760002819553","12.8868198125182","13.1885695184578","12.8947794462034","13.4137706074783","13.4280658632941","13.6447950598898","13.417787459075","13.6985431991923","13.9107526139242","14.9346454108336","15.3264627150702","13.2621603769636","13.0880851054004","13.3652340296961","13.3191976561239","13.7417149909108","13.3959383230596","13.6411275255835","","",
"Caribbean small states","CSS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.576444186778","19.2730325859413","20.6416069182077","20.9983562184139","22.6334974837294","24.1753802890863","23.1377279785552","24.4279447573205","23.1708161792498","22.6482905073493","22.7854830003031","22.5951513998525","","23.3768520030823","","","",
"Cuba","CUB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","13.3891041568466","12.1203957799436","13.2309141254979","13.5794674015489","14.1997457898254","14.7875835738943","13.7933786511882","14.2413895442656","15.4059994941628","16.1320463218441","16.5564691732432","16.701230847832","16.3313115500614","17.3866421933943","18.3570374303086","30.8059028384927","29.0124317653202","30.8681490945637","33.2443430599618","35.5447320498536","31.8390403005223","30.8306194180895","29.1048280992189","30.9779102083543","31.8483058623119","34.8441150995258","35.8024518389187","35.9933303722496","37.5386827856153","37.0788051265292","39.0147628187","40.865534172882","48.3441643690617","46.0547468387359","23.2516668005462","23.2472343843105","23.2987517168328","23.2399677778519","23.2981450345911","24.3196882863131","23.8597677826626","","",
"Czech Republic","CZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8647223007589","16.7556054541681","15.7951069276188","15.2158394845414","14.6920573332142","14.264888610592","14.7116258929539","14.2014370892072","14.5729349544778","14.4820490713905","14.8057096864412","14.4275944311145","14.2211581194212","13.4442401754954","13.9789490788953","13.5923980341526","12.4206666532669","12.8889751427395","13.030191471718","13.4085418600206","13.506581541621","13.2936497357659","13.220598100476","","",
